sample,AF,AG,PF,PG,SH,tray_num,block_num,desert,fire_name,fire_year,TSF,TSF2,burn,plot_num,fullplot_name,line,location,overstory,unique_ID,date_coll,total_seed_count,fg_richness
186,1,0,0,0,0,24,1,CP,,0,15.0,,burned,25,MV-00-1,3,20,I,MV-00-1-3-3-20-I,2018-06-08,1,1
187,1,0,0,0,0,24,1,SO,GAT,CON,,,control,39,SO-GAT-CON-3,1,10,I,SO-GAT-CON-3-1-10-I,2018-09-24,1,1
188,0,0,6,3,0,24,1,CP,,89,30.0,,burned,28,MV-89-1,3,20,S,MV-89-1-3-3-20-S,2018-06-07,9,2
189,1,0,0,0,0,24,1,GB,OW,1,15.0,,burned,15,GB-OW-01-3,3,10,I,GB-OW-01-3-3-10-I,2018-06-26,1,1
190,0,2,0,0,0,24,1,SO,GST,5,15.0,,burned,42,SO-GST-05-3,3,10,I,SO-GST-05-3-3-10-I,2018-09-26,2,1
191,3,0,0,0,0,24,1,SO,GAT,80,30.0,,burned,36,SO-GAT-80-3,1,20,I,SO-GAT-80-3-1-20-I,2018-09-23,3,1
192,2,0,0,7,0,24,1,GB,OW,CON,,,control,18,GB-OW-CON-3,2,10,S,GB-OW-CON-3-2-10-S,2018-06-25,9,2
193,18,1,0,0,1,25,2,SO,GAT,80,30.0,,burned,34,SO-GAT-80-1,3,10,S,SO-GAT-80-1-3-10-S,2018-09-23,20,3
194,12,0,0,0,0,25,2,SO,GAT,CON,,,control,37,SO-GAT-CON-1,3,10,I,SO-GAT-CON-1-3-10-I,2018-09-24,12,1
196,49,0,0,0,4,25,2,SO,GAT,80,30.0,,burned,34,SO-GAT-80-1,1,10,S,SO-GAT-80-1-1-10-S,2018-09-23,53,2
197,1,1,0,0,0,25,2,GB,OW,1,15.0,,burned,15,GB-OW-01-3,2,20,S,GB-OW-01-3-2-20-S,2018-06-26,2,2
198,8,0,0,0,0,25,2,CH,JCB,1,15.0,,burned,2,CH-JCB-01-2,1,20,S,CH-JCB-01-2-1-20-S,2018-10-19,8,1
199,0,0,0,2,0,25,2,GB,OW,CON,,,control,16,GB-OW-CON-1,3,20,I,GB-OW-CON-1-3-20-I,2018-06-26,2,1
200,4,0,0,0,0,25,2,SO,GAT,80,30.0,,burned,34,SO-GAT-80-1,1,20,I,SO-GAT-80-1-1-20-I,2018-09-23,4,1
201,2,0,0,0,0,26,2,CP,,CON,,,control,33,MV-CON-3,2,10,S,MV-CON-3-2-2-10-S,2018-06-07,2,1
202,15,2,0,0,0,26,2,SO,GAT,CON,,,control,38,SO-GAT-CON-2,2,20,S,SO-GAT-CON-2-2-20-S,2018-09-24,17,2
203,12,0,0,0,0,26,2,CH,KNT,89,30.0,,burned,9,CH-KNT-89-3,3,10,I,CH-KNT-89-3-3-10-I,2018-10-22,12,1
204,3,5,0,0,0,26,2,SO,GST,5,15.0,,burned,40,SO-GST-05-1,2,10,I,SO-GST-05-1-2-10-I,2018-09-27,8,2
205,7,2,0,0,0,26,2,SO,GAT,CON,,,control,37,SO-GAT-CON-1,3,20,S,SO-GAT-CON-1-3-20-S,2018-09-24,9,2
206,0,0,1,20,0,26,2,CP,,89,30.0,,burned,30,MV-89-3,3,20,I,MV-89-3-3-3-20-I,2018-06-07,21,2
207,29,0,1,0,2,26,2,SO,GAT,CON,,,control,37,SO-GAT-CON-1,1,10,S,SO-GAT-CON-1-1-10-S,2018-09-24,32,3
208,2,1,1,15,0,26,2,CP,,89,30.0,,burned,29,MV-89-2,3,20,I,MV-89-2-3-3-20-I,2018-06-07,19,4
209,1,0,0,0,0,27,2,GB,RAD,CON,,,control,24,GB-RAD-CON-3,1,10,S,GB-RAD-CON-3-1-10-S,2018-06-24,1,1
211,1,1,0,2,0,27,2,CP,,89,30.0,,burned,29,MV-89-2,1,10,S,MV-89-2-1-1-10-S,2018-06-07,4,3
212,4,1,0,0,0,27,2,GB,RAD,84,30.0,,burned,19,GB-RAD-84-1,2,20,I,GB-RAD-84-1-2-20-I,2018-06-23,5,2
213,1,0,0,2,0,27,2,CP,,89,30.0,,burned,30,MV-89-3,2,10,S,MV-89-3-2-2-10-S,2018-06-07,3,2
214,13,0,0,0,0,27,2,CH,JCB,CON,,,control,6,CH-JCB-CON-3,2,20,S,CH-JCB-CON-3-2-20-S,2018-10-21,13,1
215,0,0,0,8,0,27,2,GB,OW,1,15.0,,burned,14,GB-OW-01-2,1,20,I,GB-OW-01-2-1-20-I,2018-06-26,8,1
216,5,0,0,0,0,27,2,CH,KNT,89,30.0,,burned,9,CH-KNT-89-3,1,20,I,CH-KNT-89-3-1-20-I,2018-10-22,5,1
217,0,1,0,0,0,28,3,GB,RAD,84,30.0,,burned,19,GB-RAD-84-1,1,10,I,GB-RAD-84-1-1-10-I,2018-06-23,1,1
218,0,3,0,0,1,28,3,SO,GST,5,15.0,,burned,42,SO-GST-05-3,2,20,I,SO-GST-05-3-2-20-I,2018-09-26,4,2
219,0,1,0,0,0,28,3,GB,RAD,CON,,,control,23,GB-RAD-CON-2,3,20,S,GB-RAD-CON-2-3-20-S,2018-06-23,1,1
220,10,0,0,0,0,28,3,CH,JCB,1,15.0,,burned,1,CH-JCB-01-1,1,10,S,CH-JCB-01-1-1-10-S,2018-10-20,10,1
221,2,3,0,29,0,28,3,CP,,89,30.0,,burned,30,MV-89-3,1,20,S,MV-89-3-1-1-20-S,2018-06-07,34,3
223,0,1,0,0,0,28,3,GB,RAD,CON,,,control,23,GB-RAD-CON-2,3,20,I,GB-RAD-CON-2-3-20-I,2018-06-23,1,1
224,1,0,0,0,0,28,3,CP,,CON,,,control,32,MV-CON-2,2,10,S,MV-CON-2-2-2-10-S,2018-06-07,1,1
226,1,2,0,0,0,29,3,GB,RAD,CON,,,control,22,GB-RAD-CON-1,2,10,I,GB-RAD-CON-1-2-10-I,2018-06-23,3,2
227,3,0,0,0,0,29,3,CH,KNT,89,30.0,,burned,8,CH-KNT-89-2,3,10,I,CH-KNT-89-2-3-10-I,2018-10-22,3,1
228,5,0,0,0,0,29,3,CH,JCB,CON,,,control,5,CH-JCB-CON-2,1,10,I,CH-JCB-CON-2-1-10-I,2018-10-21,5,1
229,0,3,0,0,0,29,3,SO,GAT,CON,,,control,38,SO-GAT-CON-2,3,10,I,SO-GAT-CON-2-3-10-I,2018-09-24,3,1
230,3,0,0,0,0,29,3,CH,KNT,89,30.0,,burned,7,CH-KNT-89-1,1,10,S,CH-KNT-89-1-1-10-S,2018-10-22,3,1
231,11,2,4,0,0,29,3,GB,RAD,84,30.0,,burned,21,GB-RAD-84-3,3,20,I,GB-RAD-84-3-3-20-I,2018-06-27,17,3
232,2,0,0,0,0,29,3,CH,JCB,1,15.0,,burned,3,CH-JCB-01-3,2,10,I,CH-JCB-01-3-2-10-I,2018-10-20,2,1
233,1,0,1,0,0,30,3,CP,,CON,,,control,33,MV-CON-3,1,10,I,MV-CON-3-1-1-10-I,2018-06-07,2,2
235,0,0,0,5,0,30,3,GB,OW,1,15.0,,burned,13,GB-OW-01-1,3,20,I,GB-OW-01-1-3-20-I,2018-06-26,5,1
236,11,10,0,0,1,30,3,SO,GST,CON,,,control,44,SO-GST-CON-2,3,20,S,SO-GST-CON-2-3-20-S,2018-09-25,22,3
237,5,0,0,0,0,30,3,CH,KNT,CON,,,control,10,CH-KNT-CON-1,1,20,S,CH-KNT-CON-1-1-20-S,2018-10-24,5,1
238,0,15,0,0,0,30,3,SO,GST,5,15.0,,burned,41,SO-GST-05-2,3,20,I,SO-GST-05-2-3-20-I,2018-09-27,15,1
240,5,0,0,0,0,30,3,CP,,CON,,,control,31,MV-CON-1,3,10,I,MV-CON-1-3-3-10-I,2018-06-08,5,1
241,0,0,1,5,0,31,4,CP,,89,30.0,,burned,30,MV-89-3,2,10,I,MV-89-3-2-2-10-I,2018-06-07,6,2
242,0,0,0,0,3,31,4,SO,GST,5,15.0,,burned,40,SO-GST-05-1,1,20,S,SO-GST-05-1-1-20-S,2018-09-27,3,1
243,3,8,0,0,3,31,4,SO,GST,5,15.0,,burned,40,SO-GST-05-1,2,10,S,SO-GST-05-1-2-10-S,2018-09-27,14,3
244,0,0,2,15,0,31,4,CP,,89,30.0,,burned,30,MV-89-3,3,10,S,MV-89-3-3-3-10-S,2018-06-07,17,2
245,0,3,0,0,0,31,4,GB,RAD,84,30.0,,burned,20,GB-RAD-84-2,3,10,I,GB-RAD-84-2-3-10-I,2018-06-23,3,1
246,3,0,0,2,0,31,4,CP,,CON,,,control,33,MV-CON-3,3,10,I,MV-CON-3-3-3-10-I,2018-06-07,5,2
247,6,5,0,0,0,31,4,GB,RAD,CON,,,control,24,GB-RAD-CON-3,1,20,S,GB-RAD-CON-3-1-20-S,2018-06-24,11,2
248,8,2,0,0,0,31,4,SO,GAT,80,30.0,,burned,34,SO-GAT-80-1,2,10,I,SO-GAT-80-1-2-10-I,2018-09-23,10,2
250,0,0,0,2,0,32,4,GB,OW,1,15.0,,burned,13,GB-OW-01-1,1,10,I,GB-OW-01-1-1-10-I,2018-06-26,2,1
251,0,0,1,0,0,32,4,CP,,0,15.0,,burned,25,MV-00-1,3,10,I,MV-00-1-3-3-10-I,2018-06-08,1,1
252,1,0,0,0,0,32,4,GB,OW,CON,,,control,17,GB-OW-CON-2,1,20,I,GB-OW-CON-2-1-20-I,2018-06-25,1,1
253,16,0,0,0,0,32,4,CH,JCB,CON,,,control,4,CH-JCB-CON-1,3,10,I,CH-JCB-CON-1-3-10-I,2018-10-21,16,1
255,1,0,0,0,0,32,4,CH,KNT,CON,,,control,12,CH-KNT-CON-3,3,20,S,CH-KNT-CON-3-3-20-S,2018-10-24,1,1
256,1,2,2,82,0,32,4,GB,RAD,84,30.0,,burned,21,GB-RAD-84-3,2,10,I,GB-RAD-84-3-2-10-I,2018-06-27,87,4
257,7,0,0,0,0,33,4,CH,JCB,1,15.0,,burned,2,CH-JCB-01-2,3,20,S,CH-JCB-01-2-3-20-S,2018-10-19,7,1
258,0,0,0,1,0,33,4,GB,OW,1,15.0,,burned,14,GB-OW-01-2,1,10,S,GB-OW-01-2-1-10-S,2018-06-26,1,1
259,1,0,0,0,0,33,4,CH,JCB,1,15.0,,burned,1,CH-JCB-01-1,2,20,S,CH-JCB-01-1-2-20-S,2018-10-20,1,1
260,4,1,0,0,0,33,4,GB,RAD,CON,,,control,22,GB-RAD-CON-1,1,20,S,GB-RAD-CON-1-1-20-S,2018-06-23,5,2
261,0,0,1,0,0,33,4,GB,RAD,CON,,,control,24,GB-RAD-CON-3,2,10,S,GB-RAD-CON-3-2-10-S,2018-06-24,1,1
262,16,3,13,2,0,33,4,CP,,89,30.0,,burned,29,MV-89-2,2,20,S,MV-89-2-2-2-20-S,2018-06-07,34,4
263,1,0,0,4,0,33,4,GB,OW,1,15.0,,burned,13,GB-OW-01-1,1,20,S,GB-OW-01-1-1-20-S,2018-06-26,5,2
265,9,0,0,0,0,34,4,CH,KNT,CON,,,control,12,CH-KNT-CON-3,1,20,I,CH-KNT-CON-3-1-20-I,2018-10-24,9,1
266,7,0,0,0,0,34,4,CH,KNT,CON,,,control,10,CH-KNT-CON-1,2,10,I,CH-KNT-CON-1-2-10-I,2018-10-24,7,1
267,7,0,0,0,0,34,4,CH,KNT,CON,,,control,10,CH-KNT-CON-1,1,10,I,CH-KNT-CON-1-1-10-I,2018-10-24,7,1
268,28,3,0,0,0,34,4,SO,GAT,80,30.0,,burned,35,SO-GAT-80-2,3,10,I,SO-GAT-80-2-3-10-I,2018-09-23,31,2
270,2,0,1,0,0,34,4,CP,,CON,,,control,33,MV-CON-3,2,20,I,MV-CON-3-2-2-20-I,2018-06-07,3,2
271,7,15,5,3,0,34,4,GB,RAD,84,30.0,,burned,20,GB-RAD-84-2,1,20,S,GB-RAD-84-2-1-20-S,2018-06-23,30,4
272,0,39,0,0,0,34,4,GB,RAD,84,30.0,,burned,20,GB-RAD-84-2,2,20,I,GB-RAD-84-2-2-20-I,2018-06-23,39,1
273,1,0,0,2,0,35,4,GB,RAD,CON,,,control,23,GB-RAD-CON-2,2,10,S,GB-RAD-CON-2-2-10-S,2018-06-23,3,2
274,0,1,10,6,0,35,4,CP,,89,30.0,,burned,29,MV-89-2,1,10,I,MV-89-2-1-1-10-I,2018-06-07,17,3
275,0,0,0,0,4,35,4,SO,GAT,80,30.0,,burned,36,SO-GAT-80-3,3,10,S,SO-GAT-80-3-3-10-S,2018-09-23,4,1
276,7,0,0,0,0,35,4,CH,KNT,89,30.0,,burned,7,CH-KNT-89-1,3,10,I,CH-KNT-89-1-3-10-I,2018-10-22,7,1
277,1,0,0,0,0,35,4,CH,KNT,CON,,,control,11,CH-KNT-CON-2,1,10,S,CH-KNT-CON-2-1-10-S,2018-10-24,1,1
278,8,33,0,0,1,35,4,SO,GST,CON,,,control,44,SO-GST-CON-2,1,20,I,SO-GST-CON-2-1-20-I,2018-09-25,42,3
279,42,1,0,0,1,35,4,SO,GAT,CON,,,control,37,SO-GAT-CON-1,2,10,I,SO-GAT-CON-1-2-10-I,2018-09-24,44,3
280,1,1,0,0,0,35,4,CH,KNT,89,30.0,,burned,9,CH-KNT-89-3,1,10,I,CH-KNT-89-3-1-10-I,2018-10-22,2,2
281,1,0,1,8,0,36,4,CP,,89,30.0,,burned,30,MV-89-3,3,10,I,MV-89-3-3-3-10-I,2018-06-07,10,3
282,8,0,0,0,0,36,4,CH,JCB,1,15.0,,burned,1,CH-JCB-01-1,2,10,S,CH-JCB-01-1-2-10-S,2018-10-20,8,1
283,15,0,0,0,0,36,4,CH,JCB,1,15.0,,burned,2,CH-JCB-01-2,2,20,I,CH-JCB-01-2-2-20-I,2018-10-19,15,1
284,0,0,2,0,0,36,4,CP,,0,15.0,,burned,25,MV-00-1,2,20,S,MV-00-1-2-2-20-S,2018-06-08,2,1
285,4,3,1,1,0,36,4,GB,RAD,84,30.0,,burned,21,GB-RAD-84-3,1,20,I,GB-RAD-84-3-1-20-I,2018-06-27,9,4
286,0,26,0,0,0,36,4,SO,GST,CON,,,control,43,SO-GST-CON-1,3,20,I,SO-GST-CON-1-3-20-I,2018-09-25,26,1
287,0,0,0,3,0,36,4,CP,,0,15.0,,burned,27,MV-00-3,1,20,I,MV-00-3-1-1-20-I,2018-06-08,3,1
288,7,0,0,0,0,36,4,CH,JCB,CON,,,control,4,CH-JCB-CON-1,3,20,I,CH-JCB-CON-1-3-20-I,2018-10-21,7,1
289,0,0,0,2,0,37,3,GB,OW,1,15.0,,burned,15,GB-OW-01-3,1,10,I,GB-OW-01-3-1-10-I,2018-06-26,2,1
290,3,0,0,0,0,37,3,SO,GAT,CON,,,control,37,SO-GAT-CON-1,3,20,I,SO-GAT-CON-1-3-20-I,2018-09-24,3,1
291,1,0,0,0,0,37,3,CH,KNT,CON,,,control,12,CH-KNT-CON-3,2,10,I,CH-KNT-CON-3-2-10-I,2018-10-24,1,1
292,1,0,0,0,0,37,3,CH,KNT,CON,,,control,12,CH-KNT-CON-3,3,10,I,CH-KNT-CON-3-3-10-I,2018-10-24,1,1
293,0,0,0,3,0,37,3,GB,OW,CON,,,control,18,GB-OW-CON-3,3,10,I,GB-OW-CON-3-3-10-I,2018-06-25,3,1
294,25,21,0,0,0,37,3,SO,GST,CON,,,control,44,SO-GST-CON-2,2,10,S,SO-GST-CON-2-2-10-S,2018-09-25,46,2
295,7,4,0,2,0,37,3,GB,RAD,84,30.0,,burned,21,GB-RAD-84-3,2,20,S,GB-RAD-84-3-2-20-S,2018-06-27,13,3
296,0,0,0,0,3,37,3,SO,GAT,CON,,,control,38,SO-GAT-CON-2,3,20,S,SO-GAT-CON-2-3-20-S,2018-09-24,3,1
297,1,1,0,0,0,38,3,GB,OW,CON,,,control,17,GB-OW-CON-2,3,10,S,GB-OW-CON-2-3-10-S,2018-06-25,2,2
298,1,0,0,1,0,38,3,CP,,0,15.0,,burned,27,MV-00-3,2,20,S,MV-00-3-2-2-20-S,2018-06-08,2,2
299,5,0,0,0,2,38,3,SO,GAT,CON,,,control,39,SO-GAT-CON-3,2,10,S,SO-GAT-CON-3-2-10-S,2018-09-24,7,2
300,8,1,2,3,0,38,3,GB,RAD,84,30.0,,burned,21,GB-RAD-84-3,3,10,S,GB-RAD-84-3-3-10-S,2018-06-27,14,4
301,0,1,0,0,0,38,3,GB,RAD,CON,,,control,23,GB-RAD-CON-2,3,10,I,GB-RAD-CON-2-3-10-I,2018-06-23,1,1
302,1,0,6,11,0,38,3,CP,,89,30.0,,burned,28,MV-89-1,2,20,I,MV-89-1-2-2-20-I,2018-06-07,18,3
303,0,0,0,3,0,38,3,GB,OW,CON,,,control,18,GB-OW-CON-3,3,10,S,GB-OW-CON-3-3-10-S,2018-06-25,3,1
304,14,0,0,0,0,38,3,CH,KNT,CON,,,control,11,CH-KNT-CON-2,1,20,I,CH-KNT-CON-2-1-20-I,2018-10-24,14,1
305,1,0,0,2,0,39,3,CP,,0,15.0,,burned,26,MV-00-2,2,20,S,MV-00-2-2-2-20-S,2018-06-08,3,2
306,3,0,1,7,0,39,3,CP,,CON,,,control,31,MV-CON-1,1,10,I,MV-CON-1-1-1-10-I,2018-06-08,11,3
308,1,0,2,0,0,39,3,CP,,CON,,,control,33,MV-CON-3,1,20,I,MV-CON-3-1-1-20-I,2018-06-07,3,2
309,3,0,0,0,0,39,3,CH,JCB,CON,,,control,5,CH-JCB-CON-2,3,20,I,CH-JCB-CON-2-3-20-I,2018-10-21,3,1
310,1,5,0,0,2,39,3,SO,GST,5,15.0,,burned,41,SO-GST-05-2,3,10,S,SO-GST-05-2-3-10-S,2018-09-27,8,3
311,0,1,1,0,0,39,3,CP,,0,15.0,,burned,27,MV-00-3,1,10,S,MV-00-3-1-1-10-S,2018-06-08,2,2
312,1,0,25,59,0,39,3,CP,,89,30.0,,burned,29,MV-89-2,3,10,I,MV-89-2-3-3-10-I,2018-06-07,85,3
313,1,1,0,2,0,40,2,GB,RAD,CON,,,control,23,GB-RAD-CON-2,1,10,I,GB-RAD-CON-2-1-10-I,2018-06-23,4,3
314,42,0,0,0,0,40,2,CH,JCB,CON,,,control,4,CH-JCB-CON-1,2,10,S,CH-JCB-CON-1-2-10-S,2018-10-21,42,1
315,4,2,0,0,0,40,2,SO,GST,CON,,,control,45,SO-GST-CON-3,2,10,S,SO-GST-CON-3-2-10-S,2018-09-26,6,2
316,2,2,0,0,0,40,2,GB,RAD,84,30.0,,burned,19,GB-RAD-84-1,2,20,S,GB-RAD-84-1-2-20-S,2018-06-23,4,2
317,3,8,0,0,0,40,2,SO,GST,CON,,,control,43,SO-GST-CON-1,1,10,S,SO-GST-CON-1-1-10-S,2018-09-25,11,2
318,0,0,0,3,0,40,2,GB,OW,CON,,,control,17,GB-OW-CON-2,3,20,I,GB-OW-CON-2-3-20-I,2018-06-25,3,1
319,7,0,0,0,0,40,2,CH,JCB,CON,,,control,6,CH-JCB-CON-3,3,20,I,CH-JCB-CON-3-3-20-I,2018-10-21,7,1
320,0,0,0,3,0,40,2,CP,,89,30.0,,burned,29,MV-89-2,2,20,I,MV-89-2-2-2-20-I,2018-06-07,3,1
321,2,1,0,0,1,41,2,SO,GST,5,15.0,,burned,42,SO-GST-05-3,1,10,S,SO-GST-05-3-1-10-S,2018-09-26,4,3
322,0,0,0,2,0,41,2,GB,OW,1,15.0,,burned,13,GB-OW-01-1,3,20,S,GB-OW-01-1-3-20-S,2018-06-26,2,1
323,1,0,1,3,0,41,2,GB,OW,CON,,,control,18,GB-OW-CON-3,1,10,I,GB-OW-CON-3-1-10-I,2018-06-25,5,3
325,5,12,0,0,0,41,2,SO,GST,CON,,,control,44,SO-GST-CON-2,3,10,S,SO-GST-CON-2-3-10-S,2018-09-25,17,2
326,8,0,0,0,0,41,2,CH,JCB,1,15.0,,burned,2,CH-JCB-01-2,3,10,S,CH-JCB-01-2-3-10-S,2018-10-19,8,1
327,4,0,0,0,0,41,2,CH,KNT,89,30.0,,burned,9,CH-KNT-89-3,3,10,S,CH-KNT-89-3-3-10-S,2018-10-22,4,1
328,0,0,0,3,0,41,2,GB,OW,1,15.0,,burned,14,GB-OW-01-2,3,20,S,GB-OW-01-2-3-20-S,2018-06-26,3,1
329,1,0,1,159,0,42,2,GB,RAD,84,30.0,,burned,21,GB-RAD-84-3,2,20,I,GB-RAD-84-3-2-20-I,2018-06-27,161,3
330,3,0,0,0,0,42,2,CH,KNT,CON,,,control,10,CH-KNT-CON-1,3,20,S,CH-KNT-CON-1-3-20-S,2018-10-24,3,1
331,1,0,0,0,0,42,2,CH,KNT,CON,,,control,11,CH-KNT-CON-2,3,10,S,CH-KNT-CON-2-3-10-S,2018-10-24,1,1
332,0,0,0,1,0,42,2,GB,OW,1,15.0,,burned,15,GB-OW-01-3,1,20,I,GB-OW-01-3-1-20-I,2018-06-26,1,1
333,4,1,0,0,0,42,2,SO,GST,CON,,,control,43,SO-GST-CON-1,1,20,S,SO-GST-CON-1-1-20-S,2018-09-25,5,2
334,8,60,0,0,0,42,2,SO,GST,CON,,,control,44,SO-GST-CON-2,3,20,I,SO-GST-CON-2-3-20-I,2018-09-25,68,2
335,6,2,0,0,0,42,2,SO,GAT,CON,,,control,39,SO-GAT-CON-3,3,10,S,SO-GAT-CON-3-3-10-S,2018-09-24,8,2
336,6,0,0,0,0,42,2,CH,KNT,CON,,,control,11,CH-KNT-CON-2,3,20,I,CH-KNT-CON-2-3-20-I,2018-10-24,6,1
337,25,0,0,1,0,43,1,CH,KNT,89,30.0,,burned,9,CH-KNT-89-3,1,20,S,CH-KNT-89-3-1-20-S,2018-10-22,26,2
338,1,0,0,4,0,43,1,GB,OW,CON,,,control,16,GB-OW-CON-1,3,10,S,GB-OW-CON-1-3-10-S,2018-06-26,5,2
339,0,1,0,0,0,43,1,SO,GST,5,15.0,,burned,41,SO-GST-05-2,3,10,I,SO-GST-05-2-3-10-I,2018-09-27,1,1
340,2,0,0,0,0,43,1,SO,GST,5,15.0,,burned,41,SO-GST-05-2,2,20,I,SO-GST-05-2-2-20-I,2018-09-27,2,1
341,1,0,0,0,0,43,1,CH,KNT,89,30.0,,burned,8,CH-KNT-89-2,1,20,S,CH-KNT-89-2-1-20-S,2018-10-22,1,1
342,15,0,0,0,0,43,1,CH,JCB,1,15.0,,burned,1,CH-JCB-01-1,1,20,I,CH-JCB-01-1-1-20-I,2018-10-20,15,1
343,11,0,0,0,0,43,1,CH,KNT,89,30.0,,burned,7,CH-KNT-89-1,2,10,I,CH-KNT-89-1-2-10-I,2018-10-22,11,1
344,1,1,0,17,3,43,1,GB,OW,1,15.0,,burned,14,GB-OW-01-2,3,10,S,GB-OW-01-2-3-10-S,2018-06-26,22,4
345,1,0,0,0,0,44,1,CP,,CON,,,control,33,MV-CON-3,1,10,S,MV-CON-3-1-1-10-S,2018-06-07,1,1
346,6,3,0,0,2,44,1,SO,GST,5,15.0,,burned,42,SO-GST-05-3,1,20,I,SO-GST-05-3-1-20-I,2018-09-26,11,3
347,54,0,0,0,0,44,1,CH,KNT,CON,,,control,10,CH-KNT-CON-1,3,10,S,CH-KNT-CON-1-3-10-S,2018-10-24,54,1
348,1,0,0,0,0,44,1,CP,,0,15.0,,burned,25,MV-00-1,2,10,I,MV-00-1-2-2-10-I,2018-06-08,1,1
349,0,8,3,0,0,44,1,GB,RAD,84,30.0,,burned,20,GB-RAD-84-2,2,20,S,GB-RAD-84-2-2-20-S,2018-06-23,11,2
350,18,1,0,0,1,44,1,SO,GAT,CON,,,control,37,SO-GAT-CON-1,3,10,S,SO-GAT-CON-1-3-10-S,2018-09-24,20,3
352,1,1,0,0,0,44,1,SO,GST,CON,,,control,45,SO-GST-CON-3,2,10,I,SO-GST-CON-3-2-10-I,2018-09-26,2,2
353,11,1,0,0,1,45,6,SO,GAT,80,30.0,,burned,35,SO-GAT-80-2,2,20,I,SO-GAT-80-2-2-20-I,2018-09-23,13,3
354,6,0,0,0,6,45,6,SO,GAT,80,30.0,,burned,35,SO-GAT-80-2,1,10,S,SO-GAT-80-2-1-10-S,2018-09-23,12,2
355,1,0,0,1,0,45,6,GB,OW,CON,,,control,16,GB-OW-CON-1,2,20,S,GB-OW-CON-1-2-20-S,2018-06-26,2,2
356,0,0,4,27,0,45,6,CP,,89,30.0,,burned,30,MV-89-3,1,20,I,MV-89-3-1-1-20-I,2018-06-07,31,2
357,2,1,0,0,0,45,6,GB,RAD,CON,,,control,22,GB-RAD-CON-1,3,10,S,GB-RAD-CON-1-3-10-S,2018-06-23,3,2
358,9,0,5,0,0,45,6,CP,,CON,,,control,31,MV-CON-1,2,20,I,MV-CON-1-2-2-20-I,2018-06-08,14,2
